a	indef art one
accordance	 n. in accordance with sth in agreement or harmony with sth
accordingly	in a manner that is suggested by what is known or has been said
accordion	n. portable musical instrument with a bellows, metal reeds and a keyboard .
accost	 v. approach and speak to (sb) boldly
account	statement of money paid or owed for goods or services
accountability	 [ accountable: ] responsible to someone or for some action; answerable
accountant	 n. person whose profession is to keep or inspect financial accounts
accoutre	 equip
accoutrement	 equipment worn by soldiers in addition to their clothing and weapons
accoutrements	n. equipment; trappings
accredit	~ sth to sb/~ sb with sth attribute to sb; credit sb with (a saying, etc)
accrete	v. to grow together; fuse; to grow or increase gradually, as by addition.
accretion	growth or increase by means of gradual additions
accrue	 v. ~ (from sth) come as a natural increase or advantage, esp financial; accumulate
accumulate	gradually get or gather together an increasing number or quantity of get (sth) in this way
accumulation	 n.
accuracy	 n. precision or exactness, esp resulting from careful effort
accurate	free from error
accurately	 adv.
accursed	hateful; detestable; annoying
accusation	accusing or being accused
accusatory	 adj. of or indicating an accusation
accuse	 v. ~ sb say that sb has done wrong, is guilty (of sth) or has broken the law
accused	the defendant or defendants appearing on a criminal charge
accuser	n.
accusingly	 adv. in an accusing manner
accustom	 v. ~ oneself/sb/sth to sth make oneself, etc used to sth
accustomed	usual; habitual
acerbic	(adj.) tasting sour; harsh in language or temper
acerbity	 Sourness of taste, character, or tone.
acetate	compound derived from acetic acid
acetic	 adj. of, containing, producing, or derived from acetic acid or vinegar
ache	 n. continuous dull pain
achievable	 adj. that can be achieved
achieve	gain or reach (sth), usu by effort, skill, courage, etc
achievement	action of achieving
achromatic	 designating color perceived to have zero saturation and therefore no hue, such as neutral grays, white, or black
acid	substance that contains hydrogen, which can be replaced by a metal to form a salt
acidic	 adj. of or like an acid
acidify	v. (cause sth to) become acid
acidity	n. state or quality of being acid
acidulous	adj. rather sharp or bitter in taste or manner
acknowledge	accept the truth of admit (sth)
acknowledgement	act of acknowledging
acknowledgment	 Recognition.
acme	 n. highest stage of development; point of perfection
acne	 n. inflammation of the oil-glands of the skin, producing red pimples on the face and neck
acolyte	person who helps a priest in certain church services
acorn	fruit of the oak-tree, with a cup-like base .
acoustic	of sound or the sense of hearing
acoustically	 adv. The hall is excellent acoustically
acoustics	qualities of a room, hall, etc that make it good or bad for carrying sound
acquaint	 v. ~ sb/oneself with sth make sb/oneself familiar with or aware of sth
acquaintance	~ with sth/sb knowledge of sth/sb
acquainted	~ with sth familiar with sth
acquiesce	v. ~ (fml ) accept sth without protest; offer no opposition (to a plan, conclusion, etc)
acquiescence	 submission; compliance
acquiescent	adj. ready to acquiesce
acquire	gain (sth) by one's own ability, efforts or behaviour
acquired	 [ acquire: ] to get or gain (something, such as an object, trait, or ability), esp. more or less permanently
acquisition	action of acquiring
acquisitive	adj. keen to acquire things, esp material possessions
acquit	~ sb (of sth) declare sb to be not guilty (of a crime, etc); free or clear sb (of blame, responsibility, etc)
acquittal	judgement that a person is not guilty of the crime with which he has been charged
acquittance	Release or discharge from indebtedness, obligation, or responsibility.
acre	measure of land, 4840 square yards or about 4050 square metres 48404050
acreage	n. area of land measured in acres
acrid	having a strongly bitter smell or taste
acrimonious	adj. bitter
acrimony	 n. bitterness of manner or words
acrobat	n. person, esp at a circus, who performs difficult or unusual physical acts
acrobatic	adj. of or like an acrobat
acronym	n. word formed from the initial letters of a group of words
acrophobia	 "acro'phobic adjectiv
across	from one side to the other side
act	thing done; deed
actability	 [ act: ] something done or performed; a deed
acting	 n. performing parts in plays, films, TV, etc
action	process of doing sth; using energy or influence; activity
actionable	 adj. giving sufficient cause for a lawsuit
activate	make active
active	(in the habit of) doing things; energetic
actively	* Your proposal is being actively considered
activity	being active or lively
actor	n. person who acts on the stage, on TV or in films
actress	n. woman actor
actual	 adj. existing in fact; real
actuality	actual existence; reality ;
actually	really; in fact
actuarial	calculating; pertaining to insurance statistics
actuary	n. expert who calculates insurance risks and premiums
actuate	make (a machine, an electrical device, etc) move or work; make (a process) begin , ;
acuity	 n. (esp of thought or the senses) sharpness; acuteness
acumen	 n. ability to understand and judge things quickly and clearly; shrewdness
acute	very great; severe
ad	 ,AD 5`5, 55
ad lib	 adj. (esp of speaking and performing in public) without preparation; spontaneous
adage	n. traditional saying; proverb ;
adagio	 adj. adv in slow time; slowly and gracefully ;
adamant	adj. firmly or stubbornly determined; unwilling to be persuaded
adapt	~ sth (for sth) make sth suitable for a new use, situation, etc; modify sth
adaptability	 n.
adaptable	adj. (approv ) able to adapt oneself/itself
adaptation	 n. ~ (for/to sth) (esp biology ) action or process of adapting or being adapted
adaptive	to adjust (someone or something, esp. oneself) to different conditions, a new environment, etc.
add	~ sth put sth together with sth else so as to increase the size, number, amount, etc
addendum	thing that is to be added
addict	person who is unable to stop taking drugs, alcohol, etc
addicted	unable to stop taking or using sth as a habit
addiction	n. ~ condition of taking drugs, etc habitually and being unable to stop doing so without suffering adverse effects
addictive	adj. causing addiction
addition	adding, esp calculating the total of two or more numbers
additional	 adj. added; extra; supplementary
additive	 n. substance added in small amounts for a special purpose
addle	confuse (sth/sb); muddle
addled	 (adj.) rotten
addling	[ addle: ] to make or become confused or muddled
address	details of where a person lives, works or can be found, and where letters, etc may be delivered
adduce	 v. put (sth) forward as an example or as proof
adept	adj. ~ ~ (at/in doing sth) expert or skilful in (doing) sth
adequacy	 n. adequately
adequate	 adj. ~ satisfactory in quantity or quality; sufficient
adequately	noun 'adequately
adhere	~ (to sth) remain attached (to sth); stick (as if) by means of glue or suction
adherence	n. ~ (to sth)
adherent	 n. supporter of a party or doctrine
adhesion	~ being or becoming attached (to sth)
adhesive	 adj. that can adhere; causing things to adhere; sticky
adieu	Good-by; farewell.
adipose	adj. of animal fat; fatty
adjacency	The state of being adjacent.
adjacent	also immediately preceding or following
adjective	n. word that indicates a quality of the person or thing referred to by a noun
adjoin	 v. be next or nearest to and joined with
adjourn	stop (a meeting, etc) for a time; postpone
adjudge	(also adjudicate) declare officially or decide by law
adjudicate	act as judge in a court, tribunal, contest, etc
adjudication	 n.
adjudicator	n. judge, esp in a competition ,
adjunct	~ thing that is added or attached to sth else but is less important and not essential
adjuration	 solemn urging
adjure	 v. command or request (sb) earnestly or solemnly
adjust	put (sth) into the correct order or position; arrange
adjustable	 adj. that can be adjusted
adjusted	 [ adjust: ] vt. to alter slightly, esp. to achieve accuracy;
adjustment	 n. adjusting
adjutant	 n. army officer responsible for administrative work in a battalion
ad-lib	 with little or no preparation or forethought
administer	~ sth (to sb) (fml ) hand out or give sth formally; provide
administrate	 v. to administer
administration	~ administering; giving
administrative	 adj. of or involving the management of public or business affairs
administrator	n. person responsible for managing (esp business) affairs
admirable	adj. deserving or causing admiration; excellent
admiration	feeling of respect, warm approval or pleasure
admire	~ sb/sth (for sth) regard sb/sth with respect, pleasure, satisfaction, etc ,
admirer	[ admire: ] to regard with esteem, respect, approval, or pleased surprise
admiring	 adj. showing or feeling admiration
admissible	that can be allowed
admission	~ entering or being allowed to enter a building, society, school, etc
admit	~ sb/sth (into/to sth) allow sb/sth to enter
admittance	 n. allowing sb or being allowed to enter (esp a private place); right of entry
admonish	 to express warning or disapproval to especially in a gentle, earnest, or solicitous manner
admonition	 warning
admonitory	 containing warning
ado	n. trouble; fuss; unnecessary activity
adobe	brick made of clay and straw and dried in the sun
adolescence	n. time in a person's life between childhood and mature adulthood
adolescent	 adj. of or typical of adolescence
adopt	~ sb take sb into one's family, esp as one's child or heir
adoption	 n. adopting or being adopted
adorable	 adj. very attractive; delightful; lovable
adoration	n. great love or worship
adore	love deeply and respect (sb) highly
adorn	v. ~ sth/sb/oneself add beauty or ornament to sth/sb/oneself
adornment	act of adorning
adrenalin	n. hormone produced by the adrenal glands that increases the heart rate and stimulates the nervous system, causing a feeling of excitement
adrift	(esp of a boat) driven by wind and water and out of control; drifting
adroit	 adj. ~ skilful; clever
adroitly	 adv.
adroitness	 n.
adulate	to flatter or admire excessively or slavishly
adulation	n. excessive admiration or praise; flattery
adult	grown to full size or strength
adulterant	 An adulterating substance.
adulterate	 v. make poorer in quality by adding another substance
adulterated	[ adulterate: ] vt. to debase by adding inferior material
adulteration	 making unpure, poorer in quality
adultery	 n. voluntary sexual intercourse between a married person and sb who is not that person's husband or wife
adulthood	n. state of being adult
adumbrate	indicate (sth) faintly or in outline
advance	forward movement
advanced	 being ahead in development, knowledge, progress, etc.
advantage	~ (over sb) condition or circumstance that gives one superiority or success (esp when competing with others)
advantageous	 adj. ~ profitable; beneficial ;
Advent	the ~ of sth/sb the approach or arrival of
adventitious	 adj. not planned; accidental
adventure	unusual, exciting or dangerous experience or undertaking
adventurous	eager for or fond of adventure
adverb	 n. word that adds more information about place, time, circumstance, manner, cause, degree, etc to a verb, an adjective, a phrase or another adverb
adversary	n. opponent in a contest; enemy
adverse	not favourable; contrary
adversity	unfavourable conditions; trouble
advert	 n. = advertisement
advertise	make generally or publicly known
advertisement	action of advertising
advertiser	 n. person who advertises
advice	opinion given about what to do or how to behave
advisable	adj. worth recommending as a course of action; sensible
advise	 v. ~ against sth/doing sth; ~ sb (on sth) give advice to sb; recommend
advisory	 adj. having the power to advise; giving advice
advocacy	~ giving of support (to a cause, etc)
advocate	 v. speak publicly in favour of (sth); recommend; support
aegis	n. under the aegis of sb/sth with the protection or support of sb/sth, esp a public institution
aeon	 n. period of time so long that it cannot be measured
aerate	add carbon dioxide to under pressure
aerial	 n. one or more wires or rods for sending or receiving radio waves .
aerie	= eyrie
aeronaut	 One who navigates the air, a balloonist.
aeronautics	n. scientific study or practice of flying and navigating aircraft
aeroplane	n. aircraft that is heavier than air, with wings and one or more engines
aerospace	the earth's atmosphere and the space beyond it
aerostat	 A balloon or other apparatus floating in or sustained by the air.
aerostatics	The branch of pneumatics that treats of the equilibrium, pressure, and mechanical properties.
aesthete	 person who has or claims to have a fine appreciation of art and beauty
aesthetic	concerned with beauty and the appreciation of beauty
aesthetically	adv: aesthetically pleasing
aesthetics	 n. branch of philosophy dealing with the principles of beauty and artistic taste
affability	 n.
affable	polite and friendly
affair	thing done; concern; matter
affect	have an influence on (sb/sth); produce an effect on
affectation	unnatural behaviour, manner of speaking, etc, intended to impress others
affected	 adj. not natural or genuine; pretended; artificial
affection	~ feeling of fondness; love
affectionate	 adj. ~ showing fondness (for sb); loving
affidavit	n. written statement that can be used as evidence in court, made by sb who swears that it is true
affiliate	to bring or receive into close connection as a member or branch
affiliation	affiliating or being affiliated
affinity	~ ~ (between A and B) structural resemblance or similarity of character; relationship
affirm	~ sth state sth as the truth; assert sth
affirmation	affirming
affirmative	adj. expressing agreement; indicating `yes'
affix	stick, fasten or attach sth
afflict	b:TROUBLE, INJURE
affliction	pain; suffering; distress
affluence	n. abundance of money, goods or property; wealth
affluent	 adj. rich; prosperous
afford	 have enough money, time, space, etc for (a specified purpose)
affordable	to be able to do or spare something, esp. without incurring financial difficulties or without risk of undesirable consequences
affray	 n. (fml or law ) disturbance of the peace caused by fighting or rioting in a public place
affront	n. ~ (to sb/sth) deliberately insulting or disrespectful remark, action, etc, esp in public
affronted	[ affront: ] a deliberate insult
aficionado	 n. (Spanish ) person who is very enthusiastic about a particular sport or pastime
afire	& adj. On fire, literally or figuratively.
afloat	floating in water or air
afoot	adj. being prepared or progressing
aforesaid	Said in a preceding part or before.
afraid	 adj. ~ (of sb/sth); ~ (of doing sth/to do sth) frightened
afresh	 adv. again, esp from the very beginning
Africa	 the second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east. The Sahara desert divides the continent unequally into North Africa
African	adj. of Africa or its people or languages
after	later
afterlife	n. existence that is thought by some to follow death
aftermath	the consequences of an event (especially a catastrophic event) ; the outcome of an event especially as relative to an individual
afternoon	n. time from midday or lunch-time to about 6 pm or sunset
afterthought	 n. thing that is thought of or added later
afterward	[ afterwards: ] afterward
afterwards	 adv. at a later time
again	once more; another time
against	in opposition to
agape	adj. ~ (of the mouth) wide open, esp with wonder
agate	n. type of very hard semiprecious stone with bands or patches of colour
age	length of time that a person has lived or a thing has existed
ageing	process of growing old
agency	business or place of business providing a (usu specified) service
agenda	 n. matters of business to be discussed at a meeting, etc
agent	person who acts for, or manages the affairs of, other people in business, politics, etc
agglomerate	v. become collected into a mass
agglomeration	action of agglomerating
agglutinate	v. join together as with glue; combine ;
aggrandize	 to make appear great or greater:praise highly
aggravate	make worse or more serious
aggravating	adj. irritating; annoying
aggravation	making more serious; irritation ;
aggregate	~ sb (fml ) be formed or bring sb into an assembled group or amount
aggregation	n.
aggress	To make the first attack.
aggression	unprovoked attacking or hostility by one country against another
aggressive	(of people or animals) apt or ready to attack; offensive; quarrelsome
aggrieve	 to give pain or trouble to:DISTRESS
aggrieved	adj. ~ made to feel resentful (because of unfair treatment, etc)
aghast	 adj. ~ filled with horror or amazement
agile	adj. able to move quickly and easily; active; nimble
agility	nimbleness
agitate	cause anxiety to (a person, his feelings, etc); disturb; excite
agitated	 adj. troubled or excited
agitation	disturbed state of mind or feelings; anxiety
aglow	adv, adj glowing; shining with warmth and colour
agnostic	 n. person who believes that nothing can be known about the existence of God or of anything except material things
ago	adv. gone by; in the past
agog	 adj. eager; excited
agonize	to suffer or cause to suffer agony
agonized	 [ agonize: ] to suffer or cause to suffer agony
agony	extreme mental or physical suffering
agrarian	 adj. of land
agree	~ say `yes'; say that one is willing; consent (to sth)
agreeable	pleasing; giving pleasure
agreeably	adv. pleasantly
agreement	arrangement, promise or contract made with sb
agricultural	 adj. agricultural land, workers, machinery
agriculture	n. science or practice of cultivating the land and rearing animals; farming ;
agronomist	 n.
agronomy	 n. science of controlling the soil to produce crops
ahead	adv. ~ further forward in space or time
aid	help
aide	= aide-de-camp
aide-de-camp	ADC) naval or military officer who acts as assistant to a senior officer
ail	v. trouble (sb) in body or mind (used esp as in the expression shown)
