a	indef art one
dentist	n. person whose work is filling, cleaning and taking out teeth, and fitting artificial teeth
denture	n. = plate 9
denude	 to strip of all covering or surface layers
denunciate	 to pronounce especially publicly to be blameworthy or evil
denunciation	 n. denouncing
deny	say that (sth) is not true
deodorant	n. substance that removes or disguises odours
depart	~ (for...) (from...) go away; leave
department	each of several divisions of a government, business, shop, university, etc
departmental	 adj. of a department, rather than the whole organization
departure	~ (from.) departing; going away
depend	that de`pends; it (all) de`pends (used alone, or at the beginning of a sentence , ) the result will be decided by sth mentioned or implied
dependability	n.
dependable	 adj. ithat may be depended on
dependant	n. person who depends on others for a home, food, etc
dependence	trust in sb/sth; reliance on sb/sth
dependency	 n. country governed or controlled by another
dependent	~ needing support from sb
depict	 v. show (sb/sth) as a picture; portray
deplete	v. reduce greatly the quantity, size, power or value of
depletion	n. depleting or being depleted
deplorable	 adj. that is, or should be, condemned
deplore	v. be shocked or offended by (sth); condemn
deploy	 v. (cause troops, etc to) move into the correct position for battle
deponent	 n. person who makes a written statement for use in a lawcourt
depopulate	 v. reduce the number of people living in
deport	 v. ~ sb legally force (a foreigner, criminal, etc) to leave a country
deportation	n. deporting or being deported
deportment	 n. (Brit) way of standing and walking; bearing
depose	remove from power
deposit	put (money) into a bank, esp to earn interest, etc
deposition	removing from power; dethronement
depositor	n. person who deposits
depository	 n. place where things, eg furniture, are stored; storehouse ;
depot	n. storehouse, esp for military supplies; warehouse ;
deprave	v. make (sb) morally bad; corrupt
depraved	 adj. morally bad; corrupt
depravity	n. state of being depraved; corruption
deprecate	v. feel and express disapproval of (sth)
deprecatory	adj. a deprecatory remark, view, etc
depreciate	become less valuable
depreciatory	 adj. depreciatory remarks about a great achievement
depredate	(rare)
depredation	n. damage caused by an attack, accident, etc
depress	make sad and without enthusiasm
depressant	 n, adj that reduces mental or physical activity
depressed	adj. sad and without enthusiasm
depression	being depressed; low spirits
deprivation	depriving or being deprived
deprive	v. ~ sb/sth of sth take sth away from sb/sth; prevent sb/sth from enjoying or using sth ;
depth	distance from the top down
depute	~ sth to sb give (one's work, authority, etc) to sb else
deputize	to appoint or act as deput
deputy	person who is given work, authority, etc
deracinate	 vt. to pull out by the roots; uproot
derail	 v. cause to go off the rails
derange	to disturb the order or arrangement of; throw into disorder; disarrange
deranged	 adj. unable to act and think normally, esp because of mental illness; seriously disturbed
derangement	n.
derelict	 adj. deserted and allowed to fall into ruins; dilapidated
dereliction	being derelict
deride	 v. ~ sb/sth treat sb/sth as funny and not worthy of serious attention; mock sb/sth
derided	[ deride: ] to speak of or treat with contempt, mockery, or ridicule; scoff or jeer at
derision	 n. ridicule or mockery
derisive	 adj. showing ridicule or mockery
derivation	development or origin
derivative	 adj. derived from sth else; not original
derive	~ sth from sth obtain sth from sth; get sth from sth
dermatologist	n. expert in dermatology
dermatology	n. medical study of the skin and its diseases, etc
derogate	 v. ~ from sth cause sth to seem inferior; detract from sth
derogatory	 adj. showing a hostile or critical attitude (to sb's reputation, etc); insulting
derrick	large crane for moving or lifting heavy weights, esp on a ship
desalinate	 v. remove salt from
desalinization	 [ desalination: ] desalinization, desalinisation
desalinize	 remove salt from
descant	n. treble accompaniment (often improvised) which is sung or played to a melody
descend	come or go down (sth)
descendant	 n. person descended from another
descent	coming or going down
describe	 v. ~ sb/sth (to/for sb); ~ sb/sth as sth say what sb/sth is like; depict sth in words
description	saying in words what sb/sth is like
descriptive	giving a picture in words
descry	 v. (fml ) see (sth) esp a long way away; catch sight of
desecrate	n. treat in an unworthy or evil way
desert	go away from (a place) without intending ever to return
deserted	 adj. with no one present
deserter	 n. person who deserts (desert1
desertification	a process by which fertile land turns into barren land or deser
desertion	n. deserting or being deserted
deserts	n. what one deserves
deserve	be sth or have done sth for which one should receive (a reward, special treatment, etc); be entitled to; merit
deserved	 [ deserve: ] vt. to be entitled to or worthy of; merit
desiccant	n. substance that absorbs moisture, and is often used to keep food in good condition
desiccate	v. remove all the moisture from to preserve it
desiccated	 dehydrated and powdered
desiccation	[ desiccate: ] vt. to remove most of the water from (a substance or material); dehydrate
desideratum	n. (fml ) thing that is lacking and needed
design	~ (for sth) drawing or outline from which sth may be made
designate	adj. appointed to a job (but not yet having officially started it)
designation	~ (as sth) appointing of sb to an office
designedly	 advintentionally; on purpose ; . designing n art of making designs
designer	 n. person whose job is designing
desirability	 n.
desirable	~ worth having; to be wished for
desire	 n. ~ (for sth/to do sth) strong sexual longing
desirous	 adj. ~ of sth/doing sth; ~ that... having a wish for (sth); wanting
desist	 v. ~ (fml ) stop sth/doing sth; cease
desk	piece of furniture with a flat or sloping top, often with drawers, at which one can read, write or do business
desolate	deserted and miserable
desolation	 n.
despair	state of having lost all hope
despairing	 adj. showing despair
desperado	n. (dated ) man who commits dangerous, esp criminal, acts without worrying about himself or other people
desperate	feeling or showing great despair and ready to do anything regardless of danger
despicable	 adj. ~ (to do sth) deserving to be despised; contemptible
despicably	 adv: behave despicably
despise	~ sb/sth (for sth) feel contempt for sb/sth; consider sb/sth as worthless
despite	prep without being affected by
despoil	v. ~sth (fml ) rob (a place) of sth valuable; plunder sth
despond	To lose spirit, courage, or hope.
despondent	 adj. ~ having or showing loss of hope; wretched
despot	 An absolute and irresponsible monarch.
despotic	 characteristic of an absolute ruler or absolute rule; having absolute sovereignty
despotism	tyranny
dessert	n. any sweet dish, (eg pie, tart, ice-cream) eaten at the end of a meal
destabilize	to undermine or subvert (a government, economy, etc.) so as to cause unrest or collapse
destabilized	 [ destabilize: ] to undermine or subvert (a government, economy, etc.) so as to cause unrest or collapse
destination	n. place to which sb/sth is going or being sent
destine	to set apart or appoint (for a certain purpose or person, or to do something); intend; design
destined	~ for sth/to do sth; be ~ that. having a future which has been decided or planned beforehand
destiny	power believed to control events
destitute	without money, food, etc and other things necessary for life; impoverished
destitution	n. being destitute
destroy	damage so badly that it no longer exists, works, etc; wreck
destructible	 adj. that can be destroyed
destruction	n. destroying or being destroyed
destructive	adj. causing destruction or serious damage
desuetude	n. fall into de`suetude (fml ) cease being used
desultory	adj. going from one thing to another, without a definite plan or purpose; unmethodical
detach	~ sth unfasten sth from sth; disconnect sth
detachable	 adj. that can be detached
detached	not influenced by others; impartial
detachment	detaching or being detached
detail	small, particular fact or item
detailed	 adj. having many details or paying great attention to details; thorough
detain	prevent from leaving or doing sth; delay
detained	 [ detain: ] to delay; hold back; stop
detect	 v. discover or recognize that (sth) is present
detection	n. detecting; discovering
detective	n. person, esp a police officer, whose job it is to investigate and solve crimes
detector	 n. device for detecting changes in pressure or temperature, metals, explosives, etc
detente	n. lessening of dangerous tension, esp between countries
detention	n. detaining or being detained, esp in prison
deter	v. ~ sb (from doing sth) make sb decide not to do sth
detergent	n. , adj that removes dirt, eg from the surface of clothes or dishes
deteriorate	v. ~ become worse in quality or condition
deterioration	n.
determinant	n, adj (thing) that determines or decides how or if sth happens
determinate	adj. limited in range or scope; definite ;
determination	~ quality of being firmly committed to doing sth; resoluteness
determine	fix (sth) precisely; decide
determined	 adj. ~ with one's mind firmly made up; resolute
determinedness	 [ determined: ] adj. of unwavering mind; resolute; firm
deterrent	n, adj that deters or is meant to deter
detest	 v. dislike very much; hate
detestable	 adj. that one hates; hateful
detonate	 v. explode; (be) set off
detonation	 n. explosion
detour	 n. route that avoids a blocked road, etc; deviation
detoxicate	 remove poison from
detoxification	 n. action of removing poison or harmful substances, eg addictive drugs
detoxify	 v. remove poison or harmful substances from (sb/sth)
detract	v. ~ from sth make sth seem less valuable or important
detraction	 n. unfair criticism of sb/sth; belittling ;
detractor	n. person who criticizes sb/sth unfairly
detriment	harm; damage
detrimental	adj. ~ harmful
detrimentally	adv: detrimentally affected
detritus	 n. matter such as sand, silt or gravel produced by the wearing away of rocks, etc ,
devastate	v. completely destroy (sth); ruin
devastated	 [ devastate: ] to lay waste or make desolate; ravage; destroy
devastating	very destructive
devastation	n. devastating or being devastated
develop	~ (from sth) (into sth) (cause sb/sth to) grow gradually; become or make more mature, advanced or organized
development	developing or being developed
deviance	 deviancy ns deviant tendencies or behaviour
deviant	n, adj (person who is) different in moral or social standards from what is considered normal
deviate	v. ~ from sth stop following
deviation	not following the normal or expected course, plan, etc; deviating
deviationism	 n. practice of political deviation
device	thing made or adapted for a special purpose
devil	the Devil supreme evil being; Satan
devilry	Malicious mischief.
devious	cunning; dishonest
deviousness	n.
devise	 v. think out (a plan, system, tool, etc); invent
devoid	 adj. ~ of sth without sth; completely lacking in sth
devolution	 n. transfer of power or authority, esp from central government to regional authorities ,
devolve	~ on/upon sb (of work, duties) be transferred or passed to sb
devote	;
devoted	adj. ~ very loving or loyal
devotee	n. person who is devoted to sth; enthusiast
devotion	~ deep strong love
devotional	 adj. of or used in religious worship
devour	eat (sth) hungrily or greedily
devout	sincerely religious; pious
dew	n. tiny drops of moisture condensed on cool surfaces from water vapour in the air, esp at night
dexterity	n. skill, esp in using one's hands
dexterous	adj. skilful with one's hands
diabetes	 n. disease of the pancreas which prevents sugar and starch being properly absorbed
diabolic	 adj. of or like a devil
diabolical	= diabolic
diabolize	To represent as diabolical
diacritic	n. adj mark (eg an accent, a diaeresis or a cedilla) placed above or below a written or printed letter to indicate different sounds
diacritical	Marking a difference.
diadem	 n. crown worn as a sign of royal power
diagnose	 v. ~ sth find out the nature of (esp an illness) by observing its symptoms
diagnosis	n. diagnosing
diagnostic	 adj. of diagnosis
diagonal	 adj. crossing a straight-sided figure, eg a rectangle, from corner to corner .
diagram	n. drawing or plan that uses simple lines rather than realistic details to explain or illustrate a machine, structure, process, etc
diagrammatic	 adj. a diagrammatic map
dial	face of a clock or watch
dialect	n. form of a language used in a part of a country or by a class of people
dialectal	adj. dialectal differences between two areas
dialectic	art of discovering and testing truths by discussion and logical argument
dialectical	adj. of or relating to dialectic
dialectician	 n. person who is skilled in dialectic
dialog	 [ dialogue: ] conversation between two or more people
dialogue	(writing in the form of a) conversation or talk
dialysis	 n. (medical) process of purifying blood by passing it through a membrane, used esp for treating patients with damaged kidneys
diameter	 n. straight line connecting the centre of a circle or sphere, or of the base of a cylinder, to two points on its sides
diamond	transparent precious stone of pure carbon in crystallized form, the hardest substance known
diaphanous	 adj. light, very fine and almost transparent
diaphragm	wall of muscle, between the chest and the abdomen, that helps to control breathing
diarrhoea	n. condition that causes waste matter to be emptied from the bowels frequently and in a watery form
diary	n. daily record of events, thoughts, appointments, etc
diatomic	 Containing only two atoms.
diatribe	 n. ~ lengthy and bitter attack in words
dichotomous	[ dichotomy: ] division into two parts or classifications, esp. when they are sharply distinguished or opposed
dichotomy	n. ~ (fml ) separation into or between two groups or things that are opposed, entirely different, etc
Dictaphone	 n. machine that records speech, esp dictated letters, and plays it back so that a secretary can type it out
dictate	~ (to sb) say or read aloud (words to be typed, written down or recorded on tape)
dictation	action of giving or taking sth dictated
dictator	ruler who has total power over his country, esp one who has obtained it by force and uses it in a cruel way
dictatorship	government by a dictator
diction	n. style or manner of speaking or (sometimes) writing
dictionary	 n. book that lists and explains the words of a language, or gives translations of them into one or more other languages, and is usu arranged in alphabetical order
dictum	 n. saying; maxim
did	pt of do
didactic	intended to teach
didactics	instructive especially excessively
die	n. block of hard metal with a design, etc cut into it, used for shaping coins, printing-type, medals, etc or for stamping paper, leather, etc so that designs stand out from the surface
diehard	strongly or fanatically determined or devoted
die-hard	 n. person who is stubborn, esp in resisting change
diesel	oil-burning engine (used eg for buses and locomotives) in which fuel is ignited by sudden compression
diet	sort of food that is usually eaten
dietetics	n. science of diet and nutrition
dietician	n. expert in dietetics
dietitian	a person who specializes in dietetic
differ	 v. ~ not be the same (as sb/sth); be unlike
difference	~ ~ (in/of sth) state or way in which two people or things are not the same, or in which sb/sth has changed
different	~ (than sb/sth) not the same (as sb/sth)
differentia	Any essential characteristic of a species by reason of which it differs from other species.
differential	 adj. of, showing or depending on a difference
differentiate	~ between A and B; ~ A (from B) see or show (two things) to be different; show sth to be different (from sth else)
differentiated	 [ differentiate: ] vt. to serve to distinguish between
difficult	~ (of tasks) requiring effort or skill; not easy
difficulty	~ state or quality of being difficult; trouble or effort that sth involves
diffidence	 shyness
diffident	adj. ~ not having or showing much belief in one's own abilities; lacking self-confidence
diffuse	spread all around; send out in all directions
diffusion	n. diffusing or being diffused
dig	use one's hands, a spade, a machine, etc to break up and move (earth, etc); advance by doing this
digest	 n. short condensed account; summary
digestible	 adjthat can be digested
digestion	n. digesting
digestive	adj. of digestion
digit	any of the ten Arabic numerals 0 to 9 09
digital	showing amounts by means of numbers
dignitary	n. person with a high rank or position
dignity	quality that earns or deserves respect; true worth
digraph	n. two letters that represent a single sound
digress	v. ~ turn or wander (from the main topic) in speech or writing
digressing	 [ digress: ] to depart from the main subject in speech or writing
digression	 n. digressing
digressive	 wandering away from the subject
dilapidate	 to bring into a condition of decay or partial ruin
dilapidated	adj. falling to pieces; in a bad state of repair
dilapidation	 n.
dilate	become wider, larger or further open
dilated	[ dilate: ] to expand or cause to expand; make or become wider or larger
dilatory	 adj. ~ (in doing sth) slow in acting
dilemma	situation in which one has to choose between two undesirable things or courses of action
dilettante	 n. (often derog ) person who studies or does sth, but without serious interest or understanding
dilettantish	 adj. a dilettantish follower of the arts
dilettantism	 [ dilettante: ] a person whose interest in a subject is superficial rather than professional
diligence	n. ~ steady effort; careful hard work
diligent	 adj. ~ showing care and effort (in what one does); hard-working
diligently	 adv.
dilute	make (a liquid or colour) thinner or weaker (by adding water or another liquid)
diluted	[ dilute: ] to make or become less concentrated, esp. by adding water or a thinner
dilution	 n. diluting or being diluted
dim	where or which one cannot see well; not bright
dime	10.
dimension	measurement of any sort
dimensional	a measurement of the size of something in a particular direction, such as the length, width, height, or diameter
diminish	become smaller or less; decrease
diminished	 reduced or lessened; made smaller
diminishing	[ diminish: ] to make or become smaller, fewer, or less
diminuendo	 adj. adv of or with a gradual decrease in loudness
diminution	 n. diminishing or being diminished; reduction
diminutive	unusually or remarkably small
dimple	 n. small natural hollow in the chin or cheek (either permanent, or which appears eg when a person smiles) ,
din	n. continuing loud confused noise
dine	~ (fml ) eat dinner
dinghy	 n. any of various types of small open boat
dingus	 an ornamental attachment or decoration:DOODAD
dingy	adj. dirty-looking; not cheerful or bright; drab
dinner	main meal of the day, whether eaten at midday or in the evening
dinosaur	 n. large extinct reptile
dint	= dent
diocesan	 adj. of a diocese
diocese	n. district for which a bishop is responsible
diorama	a picture (or series of pictures) representing a continuous scene
dioxide	n. oxide formed by combining two atoms of oxygen and one atom of another element
dip	~ sth (into sth); ~ sth (in) put or lower sth into a liquid
diphthong	/ aI; aI/; doubtou
diploma	n. certificate awarded for passing an examination, completing a course of study, etc
diplomacy	management of relations between countries by each country's representatives abroad; skill in this
diplomat	person in the diplomatic service, eg an ambassador
diplomatic	of diplomacy
diplomatist	n. = diplomat
dipsomania	 n. extreme dependence on alcoholic drink
dipsomaniac	n, adj suffering from dipsomania
dire	dreadful; terrible
direct	straight; not curved or crooked; not turned aside
direction	course taken by a moving person or thing; way that a person or thing looks or faces
directive	n. official instruction
directly	in a direct line or manner; straight
directness	 n.
director	person who manages, esp as a member of a board1(7), the affairs of a business company
directorship	 n. position of a director
directory	n. list of telephone subscribers, business firms, etc of an area, or members of a profession, etc, usu arranged alphabetically
direful	causing fear or dread or terror
dirge	n. song sung at a burial or for a dead person
dirk	 n. type of dagger
dirt	matter that is not clean esp when it is where it is not wanted (eg on the skin, on clothes, in buildings)
dirty	not clean; covered with dirt
disability	state of being disabled; incapacity
disable	v. make unable to do sth, esp by making a limb or limbs useless
disabuse	 v. ~ sb of sth free sb of (false ideas)
disadvantage	unfavourable condition; thing that tends to prevent sb succeeding, making progress, etc
disaffect	to cause to lose loyalty or affection; alienate
disaffected	adj. discontented; disloyal
disaffection	 n. discontent that often leads to disloyalty
disagree	~ (with sb/sth) (about/on sth) have a different opinion (from sb); not agree
disagreeable	 adj. unpleasant
disagreement	~ disagreeing; lack of agreement
disallow	 v. refuse to accept as valid
disappear	no longer be visible; vanish
disappearance	n. act or fact of disappearing
disappoint	fail to be or do sth as good, interesting etc as was hoped for or desired or expected by
disappointed	 adj. ~ (in/with sb/sth); ~ (to do sth/that...) sad or dissatisfied because sb has failed, some desired event has not happened, etc
disappointing	adj. causing sb to be disappointed
disappointment	being disappointed
disapprobation	 n. disapproval
disapproval	n. not approving
disapprove	 v. ~ consider (sb/sth) to be bad, immoral, foolish, etc
disapproving	 adj. showing disapproval
disarm	take weapons away from
disarmament	n. disarming or being disarmed
disarrange	 v. make (sth) disorderly or untidy
disarray	 n. state in which people or things are no longer properly organized
disaster	event that causes great harm or damage, eg a fire, a serious defeat, the loss of a large sum of money
disastrous	 adj. being or causing a disaster
disavow	v. say one does not know of, is not responsible for, or does not approve of (sth)
disavowal	n.
disband	v. stop operating as an organization; break up
disbar	 remove from the bar; expel from the practice of law by official action
disbarment	to deprive of the status of barrister; expel from the Bar
disbelief	n. lack of belief; failure to believe
disbelieve	refuse to believe
disburden	To disencumber.
disburse	 v. pay out (money)
disbursement	 n. paying out money
disc	flat thin round plate, eg a coin
discard	v. throw (sth) out or away
discern	v. see clearly (with the senses or the mind), esp with an effort
discerned	[ discern: ] vt. to recognize or perceive clearly
discernible	adj. that can just be discerned
discerning	 adj. showing careful judgement
discernment	n. ability to judge well; insight ;
discharge	unload unload (cargo) from a ship
disciple	 ,
disciplinarian	 n. person who believes in strict discipline
disciplinary	 adj. concerning discipline
discipline	training, esp of the mind and character, aimed at producing self-control, obedience, etc
disciplined	[ discipline: ] training or conditions imposed for the improvement of physical powers, self-control, etc.
disclaim	 v. say that one does not have (sth); renounce
disclose	 v. ~ sth (to sb) allow sth to be seen
disclosure	 n. making sth known
discography	performer, or date of release
discolor	 To stain.
discombobulate	 to confuse or disconcert
discombobulated	to throw into confusion
discomfit	v. confuse or embarrass (sb)
discomfited	[ discomfit: ] to make uneasy, confused, or embarrassed
discomfiture	 anxious embarrassment ; a defeat in battle
discomfort	lack of comfort; slight pain
discommode	 v. cause (sb) inconvenience
discompose	 v. make (sb) feel uneasy or uncomfortable
discomposure	 n.
disconcert	 v. cause to feel confused, upset or embarrassed
disconcerted	 adj.
disconfirmation	[ disconfirm: ] (of a fact or argument) to suggest that a hypothesis is wrong or ill-formulated
disconnect	 v. ~ A detach sth (from sth); undo a connection
disconnected	 adj. lacking in order; incoherent
disconsolate	 adj. unhappy, esp at the loss of sb/sth; refusing to be comforted
discontent	 n. ~ lack of satisfaction
discontented	 adj. dissatisifed
discontinuance	 Interruption or intermission.
discontinuity	lack of rational connection or cohesion
discontinuous	adj. not continuous; intermittent
discord	disagreement; quarrelling
discordant	not in agreement; conflicting
discount	amount of money taken off the cost of sth
discountenance	 v. disapprove of (sb); discourage ;
discourage	~ sb take away sb's confidence or hope of doing sth
discouraging	 adj. a discouraging result, reply
discourse	lengthy and serious treatment of a subject in speech or writing
discourteous	 adj. bad-mannered; impolite
discourtesy	n. impoliteness; rude act or comment
discover	find or learn about
discovery	discovering or being discovered
discredit	damage the good reputation of
discredited	[ discredit: ] to damage the reputation of
discreet	 adj. careful or showing good judgement in what one says or does; not too obvious
discrepancy	n. ~ difference; failure to agree
discrepant	 Opposite.
discrete	 adj. separate; distinct
discretion	quality of being discreet; good judgement
discretionary	adj. used, adopted, etc when considered necessary
discriminate	~ ~ A from B see or make a difference (between two things)
discriminating	showing good judgement and perception
discrimination	good judgement and perception
discriminatory	 adj. discriminating against sb/sth
discursive	 adj. wandering from one point to another
discuss	v. ~ sth talk or write about sth
discussion	discussing sth
disdain	n. feeling that sb/sth is not good enough to deserve one's respect; contempt
disdainful	 adj. ~ showing disdain
disease	n. illness of the body, of the mind or of plants, caused by infection or internal disorder
diseased	 adj. suffering from a disease
disembark	v. ~ (from sth) (of people) leave a ship or an aircraft
disembodied	separated from the body
disembody	To free (the soul or spirit) from the body
disenchant	 v. cause to lose his good opinion of sb/sth; disillusion
disencumber	v. ~ sb/sth (fml ) free sb/sth from (a burden, an obstruction, etc)
disenfranchise	 v. = disfranchise
disenfranchised	[ disenfranchise: ] to deprive (a person) of the right to vote or other rights of citizenship
disengage	~ sth/sb (fml ) free or disconnect sth/sb from sth/sb that holds it/him firmly
disengaged	 adj. (of a person) free from social or professional obligations
disentangle	make straight and free of knots
disentangled	 [ disentangle: ] to release or become free from entanglement or confusion
disfavor	 Disregard.
disfavored	 [ disfavour: ] disapproval or dislike
disfigure	v. spoil the appearance of
disfranchise	 v. take away the right to vote for a parliamentary representative from
disgorge	~ sth throw out (food, etc) from the stomach or throat; vomit sth
disgrace	state in which others think that one has behaved badly and no longer deserves respect
disgruntle	adjective
disgruntled	adj. ~ ~ (with sb) resentful because sth has happened to displease one
disguise	~ sb/sth ~ sb/sth (as sb/sth) make sb/sth look or sound different from normal; give sb/sth a false appearance
disgust	n. ~ (for/with sb) strong dislike for sth/sb that one feels is not right or good
disgusting	 adj. causing disgust
dish	container for holding or serving food (usu shallow and flat-bottomed)
dishabille	 in a state of undress
dishearten	 v. cause to lose hope or confidence
dishevel	 to throw into disorder or disarray
disheveled	 [ dishevel: ] di'shevelment nou
dishonest	not honest
dishonesty	 n.
dishonor	 [ dishonour: ] to treat with disrespect
dishonour	n. loss of honour or respect
disillusion	v. destroy the pleasant but mistaken beliefs or ideals of
disillusioned	adj. ~ disappointed in sb/sth that one had admired or believed in
disillusioning	 [ disillusion: ] vt. to destroy the ideals, illusions, or false ideas
disillusionment	n. state ofbeing disillusioned
disinclination	 n. ~ (fml ) unwillingness; reluctance
disincline	 n.
disinclined	adj. ~ unwilling; reluctant
disinfect	v. clean by destroying germs that cause disease
disinfectant	 n. substance that disinfects
disinfection	 n.
disinformation	 n. deliberately false information, esp given out by governments or intelligence services
disingenuous	 adj. insincere, esp in pretending that one knows less about sth than one really does
disingenuousness n.
	disingenuousness n.
disinherit	 v. prevent from inheriting one's property (by making a new will naming another person as heir)
disintegrate	 v. (cause sth to) break into small parts or pieces
disintegrating	 [ disintegrate: ] to break or be broken into fragments or constituent parts; shatter
disintegration	 n.
disinter	 v. (fml ) dig up (sth buried)
disinterest	freedom from bias or involvement
disinterested	adj. not influenced by personal feelings or interests; unbiased
disinterestedness n.
	disinterestedness n.
disjoin	to disconnect or become disconnected; separate
disjointed	 adj. in which it is difficult to understand how the ideas, events, etc follow each other and develop
disjunction	the act of disconnecting or the state of being disconnected; separation
disjunctive	adj. (of a conjunction) showing opposition or contrast between two ideas (eg either... or) , either... or
disk	= disc
dislike	v. not like (sb/sth)
dislocate	put out of its proper position in a joint
dislocation	a displacement of a part (especially a bone) from its normal position (as in the shoulder or the vertebral column)
dislodge	 v. ~ sb/sth move or force sb/sth from a previously fixed position
dislodged	to remove from or leave a lodging place, hiding place, or previously fixed position
disloyal	 adj. ~ not loyal; unfaithful
disloyalty	 n.
dismal	causing or showing sadness; gloomy; miserable
dismantle	take to pieces
dismay	 n. feeling of shock and discouragement
dismember	cut or tear off the limbs of
dismiss	~ sb remove sb (esp an employee) from a position
dismissal	n. action of dismissing
dismissive	 adj. ~ dismissing in a rude, brief and casual way
dismount	~ get off (a motor cycle, bicycle, horse, etc)
disobedience	 n. failure or refusal to obey
disobedient	adj. not obedient
disoblige	v. refuse to help or co-operate with (sb)
disorder	confused or untidy state; lack of order
disordered	 [ disorder: ] a lack of order; disarray; confusion
disorderly	untidy
disorganize	to disrupt or destroy the arrangement, system, or unity of
disorganized	 [ disorganize: ] to disrupt or destroy the arrangement, system, or unity of
disorient	[ disorientate: ] to cause (someone) to lose his bearings
disorientate	cause to lose all sense of direction
disorientation	 n.
disoriented	[ disorientate: ] to cause (someone) to lose his bearings
disown	 v. refuse to be connected with (sb/sth), esp because one is shocked by some action
disparage	v. suggest, esp unfairly, that is of little value or importance
disparagement	n. disparaging adj
disparagingly	adv: speak disparagingly of sb/sb's efforts
disparate	adj. so different in kind or degree that they cannot be compared
disparity	n. difference or inequality
dispassionate	adj. not influenced by emotion; impartial
dispatch	~ sb/sth send sb/sth off to a destination or for a special purpose
dispel	 v. drive (sth) away; cause to vanish
dispensable	adj. not necessary or essential
dispensation	action of dispensing or distributing
dispense	~ sth give sth out; distribute sth
dispensed	[ dispense: ] vt. to give out or distribute in portions
dispersal	n. action or process of dispersing
disperse	 v. go in different directions; scatter; break up
dispersed	[ disperse: ] to scatter; distribute over a wide area
dispersion	 n. dispersal, esp of light
dispirit	 v. discourage (sb); depress
dispirited	 adj.
dispiritedness	 [ dispirit: ] to lower the spirit or enthusiasm of; make downhearted or depressed; discourage
displace	move from the usual or correct place
displaced	[ displace: ] to move from the usual or correct location
displacement	displacing or being displaced
display	put sth on show
displease	v. make feel upset or angry; annoy
displeased	 adj. ~ (with sb/sth)
displeasure	n. displeased feeling; dissatisfaction
disport	v. ~ oneself amuse oneself energetically
disposable	made to be thrown away after use
disposal	action of getting rid of sth
dispose	v. place(sb/sth) in a suitable way; arrange
disposed	~ wanting or prepared to do sth
disposition	person's natural qualities of mind and character
dispossess	 v. ~ sb take away property, land, a house, etc from sb
dispossessed	 [ dispossess: ] to take away possession of something, esp. property; expel
disproof	 n. disproving
disproportion	n. ~ (instance of) being out of proportion
disproportionate adj. relatively too large or small, etc; out of proportion
	disproportionate adj. relatively too large or small, etc; out of proportion
disprove	 v. show that iswrong or false
disputable	 adj. that may be questioned or argued about
disputant	n. person who disputes
disputation	(instance of) disputing; controversy ;
disputatious	 adj. fond of arguing; inclined to argue ;
dispute	argument; debate
disqualify	 v. ~ sb (from sth/doing sth) prevent sb from doing sth, usu because he has broken a rule or is not able enough
disquiet	 n. anxiety
disquieted	 [ disquiet: ] a feeling or condition of anxiety or uneasiness
disquietude	a feeling or state of anxiety or uneasines
disquisition	 n. ~ long elaborate spoken or written report or account
disregard	v. pay no attention to treat (sth) as of no importance; ignore
disrepair	n. bad condition caused by lack of repairs
disreputable	 adj. having a bad reputation
disrepute	n. state of having a bad reputation
disrespect	 n. ~ lack of respect; rudeness
disrespectful	adj. ~ showing disrespect
disrobe	v. (fml or joc ) undress
disrupt	v. cause disorder in
disrupted	[ disrupt: ] vt. to throw into turmoil or disorder
disruptive	 adj. causing disruption
dissatisfaction	n. ~ ~ (at doing sth) lack of satisfaction
dissatisfied	 adj. ~ ~ (at doing sth) not satisfied; discontented
dissatisfy	 To displease.
dissect	cut up in order to study its structure
dissection	 n. dissecting or being dissected
dissemblance	 [ dissemble: ] to conceal (one's real motives, emotions, etc.) by pretence
dissemble	v. hide or disguise (one's true thoughts and feelings); dissimulate
dissembler	 n. person who dissembles
dissembling	[ dissemble: ] to conceal (one's real motives, emotions, etc.) by pretence
disseminate	v. spread widely
dissension	 n. angry disagreement
dissent	n. holding opinions which differ from common or officially held ones
dissenter	n. person who dissents
dissentient	One who disagrees.
dissenting	 adj.
dissentious	Contentious.
dissertation	 n. ~ long essay on a particular subject, esp one written for a doctorate or similar degree; thesis
disservice	 n. ~ harmful or unhelpful action
dissever	 To divide.
dissident	n. person who strongly disagrees with or opposes official views and policies
dissimilar	 adj. ~ not the same; unlike
dissimulate	v. hide or disguise (one's thoughts and feelings); dissemble
dissipate	scatter or vanish
dissipated	 adj. given to foolish and harmful pleasures
dissipation	dissipating or being dissipated
dissociate	 v. ~ sb/sth from sth separate in one's thoughts or feelings
dissociation	 n.
dissolute	adj. immoral; dissipated
dissolution	n. ~ breaking up (of sth); dissolving
dissolve	(of a liquid) make (a solid) become liquid
dissolved	[ dissolve: ] to go or cause to go into solution
dissonance	discord
dissonant	adj. not harmonious; discordant ;
dissuade	 v. ~ sb (try to) stop sb by advice or persuasion
dissuasion	 advice against
distaff	stick holding wool, flax, etc for spinning by hand
distal	 adj.situated away from the point of attachment or origin ora central point especially of the body
distance	space between two points or places
distant	far away in space or time
distaste	 n. ~ dislike; aversion
